severity,rule_id,file,line,snippet,why
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/data_batch_manager.py,51,"subset=target_dedup_cols, keep='last'",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/feature_selection_manager.py,57,"if not col.startswith('target_') and col not in ['ticker', 'timeframe', 'date', 'datetime']]",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/feature_selection_validator.py,127,"startswith('target_') and col not in ['ticker', 'timeframe',",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/final_stages_executor.py,77,for target_data in all_results.values():,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/final_stages_executor.py,78,"models = target_data.get('models', {})",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/final_stages_executor.py,114,"for target, target_data in ticker_data['timeframes']['all']['results'].items():",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/final_stages_executor.py,116,existing['timeframes']['all']['results'][target] = target_data,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/final_stages_executor.py,119,"new_models = target_data.get('models', {})",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/light_models_trainer.py,127,col.startswith('target_')],Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/model_training_orchestrator.py,249,"target_definitions = targets_config.get('targets', targets_config)",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/model_training_orchestrator.py,251,"configured_type = str(target_meta.get('type', '')).lower()",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/pipeline_manager.py,131,"if not str(col).startswith(""target_"")",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/results_processor.py,41,"eff_batch_name = batch_name.replace('target_target_', 'target_')",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/results_processor.py,41,"eff_batch_name = batch_name.replace('target_target_', 'target_')",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/results_processor.py,139,"for target, target_data in timeframe_data.get('results', {}",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/hybrid/results_processor.py,141,"for model, model_data in target_data.get('models', {}",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/stage_3_improvements.py,143,"'features_count': len([col for col in features_df.columns if not col.startswith('target_')]),",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/stage_3_improvements.py,144,"'targets_count': len([col for col in targets_df.columns if col.startswith('target_')]),",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/stage_5_prediction.py,250,target_scaler = self._load_target_scaler(meta),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/stage_5_prediction.py,250,target_scaler = self._load_target_scaler(meta),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/stage_5_prediction.py,279,"adjusted_prediction, target_scaler)",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/stage_5_prediction.py,316,"def _load_target_scaler(self, meta: dict[str, Any]) ->Any | None:",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/stage_5_prediction.py,317,return self.scaler_service.load_target_scaler(meta),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/feature_engineering/guards.py,7,from src.pipeline.guards.temporal_target_guard import get_temporal_target_guard,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/feature_engineering/guards.py,7,from src.pipeline.guards.temporal_target_guard import get_temporal_target_guard,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/feature_engineering/guards.py,25,self.temporal_target_guard = get_temporal_target_guard(),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/feature_engineering/guards.py,25,self.temporal_target_guard = get_temporal_target_guard(),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/feature_engineering/orchestrator.py,33,self.target_gen = TargetGenerator(config_manager),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/feature_engineering/orchestrator.py,60,targets_df = self.target_gen.generate_targets(enriched_df),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/feature_engineering/targets.py,6,from src.targets.target_orchestrator import TargetOrchestrator,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/feature_engineering/targets.py,16,self.target_orchestrator = TargetOrchestrator(targets_list=targets_list),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/feature_engineering/targets.py,21,return self.target_orchestrator.generate_targets(df),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/modeling/io.py,37,[c for c in config.x_train.columns if c.startswith('target_')],Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/modeling/io.py,84,[c for c in config.x_train.columns if c.startswith('target_')],Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/modeling/io.py,120,target_data[model_type] = {,Feature-like module may create target columns.
P2,BROAD_EXCEPT,pipeline/stages/monitoring/feature_monitoring.py,41,except Exception as exc:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,pipeline/stages/monitoring/feature_monitoring.py,46,except Exception as exc:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,pipeline/stages/monitoring/feature_monitoring.py,51,except Exception as exc:,Broad exception. Classify fatal/degraded paths.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/data_preparer.py,378,"def load_target_scaler(self, meta: dict[str, Any]) ->(Any | None):",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/data_preparer.py,422,"if hasattr(target_scaler, 'scale_'):",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/data_preparer.py,423,if target_scaler.scale_.shape[0] == 1:,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/data_preparer.py,426,return target_scaler,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/data_preparer.py,428,f'INVALID scaler at {scaler_path}: {target_scaler.scale_.shape[0]} features instead of 1',Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/model_resolver.py,371,"for target, target_data in results.items():",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/model_resolver.py,372,"models = target_data.get('models', {})",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/prediction_generator.py,109,target_scaler: Any) ->float:,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/prediction_generator.py,111,if target_scaler is None:,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/prediction_generator.py,120,"if hasattr(target_scaler, 'scale_') and target_scaler.scale_.shape[",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/prediction_generator.py,120,"if hasattr(target_scaler, 'scale_') and target_scaler.scale_.shape[",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/prediction_generator.py,123,f'Scaler has wrong number of features: {target_scaler.scale_.shape[0]} instead of 1',Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/prediction_generator.py,125,denormalized = target_scaler.inverse_transform(pred_to_denorm),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/scaler_service.py,34,"def load_target_scaler(self, meta: dict[str, Any]) -> Any | None:",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/scaler_service.py,85,"if hasattr(target_scaler, 'scale_'):",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/scaler_service.py,86,if target_scaler.scale_.shape[0] == 1:,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/scaler_service.py,88,return target_scaler,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/prediction/scaler_service.py,91,f'❌ INVALID scaler! Has {target_scaler.scale_.shape[0]} features instead of 1',Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,96,"def _get_champion_model_for_target(self, target_key: str, heavy_models:",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,99,"combined_group = heavy_models.get(target_key, []) + light_models.get(",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,100,"target_key, [])",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,110,for target_key in all_targets:,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,111,"champion = self._get_champion_model_for_target(target_key,",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,114,recommendations['champion_by_target'][target_key] = {,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,131,"target_key = f""{ticker}_{'_'.join(parts[2:])}""",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,133,target_key),Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,137,"target_key, models_metadata, [pred])",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,344,"def _calculate_robust_confidence(self, ticker: str, target_key: str,",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,348,"champion_data = self._find_champion_model(ticker, target_key,",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,367,"def _find_champion_model(self, ticker: str, target_key: str,",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,pipeline/stages/trading/recommendation_engine.py,371,"if meta.get('target') == target_key.split('_', 1)[1]:",Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,scripts/config/ticker_config_updater.py,28,Оновити target_tickers в collectors_config.json,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,scripts/config/ticker_config_updater.py,44,# Оновлюємо target_tickers for YF колектора,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,scripts/config/ticker_config_updater.py,46,config['collectors']['yf']['additional_params']['target_tickers'] = tickers,Feature-like module may create target columns.
P0,TARGET_IN_FEATURE_MODULE,scripts/config/ticker_config_updater.py,74,return config['collectors']['yf']['additional_params']['target_tickers'],Feature-like module may create target columns.
P2,BROAD_EXCEPT,scripts/config/ticker_config_updater.py,59,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,scripts/config/ticker_config_updater.py,76,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,scripts/data/auto_accumulator.py,168,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,trading/archive/legacy_smart_trader.py,93,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,trading/archive/legacy_smart_trader.py,130,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,trading/archive/legacy_smart_trader.py,172,except Exception as e:,Broad exception. Classify fatal/degraded paths.
P2,BROAD_EXCEPT,trading/archive/legacy_smart_trader.py,189,except Exception as e:,Broad exception. Classify fatal/degraded paths.
