component,module,class_name,method,status,row_count_before,row_count_after,added_columns,removed_columns,modified_columns_count,warnings,error
src.analytics.calculators.macro_score_calculator.MacroScoreCalculator,src.analytics.calculators.macro_score_calculator,MacroScoreCalculator,,INSTANTIATE_SKIPPED,16,-1,,,0,,ValueError('Indicators configuration cannot be empty.')
src.analytics.calculators.risk_reward_calculator.RiskRewardCalculator,src.analytics.calculators.risk_reward_calculator,RiskRewardCalculator,,NO_KNOWN_METHOD,16,-1,,,0,,
src.analytics.calculators.sentiment_stats_calculator.SentimentStatsCalculator,src.analytics.calculators.sentiment_stats_calculator,SentimentStatsCalculator,,NO_KNOWN_METHOD,16,-1,,,0,,
src.analytics.calculators.volatility_calculator.VolatilityCalculator,src.analytics.calculators.volatility_calculator,VolatilityCalculator,,NO_KNOWN_METHOD,16,-1,,,0,,
src.analytics.context.contextual_model_selector.ContextualModelSelector,src.analytics.context.contextual_model_selector,ContextualModelSelector,,TIMEOUT,16,-1,,,0,timeout>10s,
src.analytics.context.ensemble_selector.EnsembleSelector,src.analytics.context.ensemble_selector,EnsembleSelector,,NO_KNOWN_METHOD,16,-1,,,0,,
src.analytics.context.macro_context_analyzer.MacroContextAnalyzer,src.analytics.context.macro_context_analyzer,MacroContextAnalyzer,,TIMEOUT,16,-1,,,0,timeout>10s,
src.analytics.context.market_context_analyzer.MarketContextAnalyzer,src.analytics.context.market_context_analyzer,MarketContextAnalyzer,,INSTANTIATE_SKIPPED,16,-1,,,0,,ValueError('The context_features list cannot be empty.')
src.analytics.context.market_phase_analyzer.MarketPhaseAnalyzer,src.analytics.context.market_phase_analyzer,MarketPhaseAnalyzer,analyze,EXECUTED,16,2,,,0,NON_DATAFRAME_OUTPUT,
src.analytics.context.market_regime_analyzer.MarketRegimeAnalyzer,src.analytics.context.market_regime_analyzer,MarketRegimeAnalyzer,,TIMEOUT,16,-1,,,0,timeout>10s,
src.analytics.detectors.anomaly_detector.AnomalyDetector,src.analytics.detectors.anomaly_detector,AnomalyDetector,,TIMEOUT,16,-1,,,0,timeout>10s,
src.analytics.detectors.critical_signal_detector.CriticalSignalDetector,src.analytics.detectors.critical_signal_detector,CriticalSignalDetector,analyze,EXECUTED,16,16,price_shock_detected;volatility_explosion_detected;volume_spike_detected,,0,,
src.analytics.reporting.model_analyzer.ModelAnalyzer,src.analytics.reporting.model_analyzer,ModelAnalyzer,,TIMEOUT,16,-1,,,0,timeout>10s,
