target,cadence,span_years,kind,rows,names,dates,block_bars,rho,eff_names,indep_periods,n_eff,mde_ic,mde_ic_fdr,mde_bacc_above_half,sharpe_at_mde
target_intraday_return_15m,15m,0.2174908424908425,continuous,152469,110,1425,1,0.11579723162352286,8.075232835079829,1425.0,11507.206789988757,0.026116732730667336,0.042169052627095194,,6.0073552584704375
target_intraday_up_15m,15m,0.2174908424908425,binary,152469,110,1425,1,0.0832254840772733,10.921824025285098,1425.0,15563.599236031265,0.022456847195476134,0.03625966467515597,0.011228423597738067,6.007355258470438
target_intraday_volatility_15m,15m,0.21733821733821734,continuous,152359,110,1424,3,0.5898046278035084,1.6848243652461574,474.6666666666667,799.729965370176,0.09906770880972708,0.15995842472047142,,6.009464212461497
target_volatility_spike_15m,15m,0.2174908424908425,binary,151237,110,1425,1,0.24642515292529116,3.9482645728986823,1425.0,5626.277016380623,0.037350227187097865,0.06030707256261172,0.018675113593548932,6.007355258470438
target_daily_momentum_score_1d,1d,29.908730158730158,continuous,703734,110,7537,10,0.25824654845320827,3.77373070482718,753.7,2844.260832228246,0.052531414259481955,0.08481918451777296,,0.51227695128222
target_daily_trend_strength_1d,1d,29.873015873015873,continuous,702744,110,7528,20,0.07620687353000614,11.819633406699886,376.4,4448.910014281837,0.04200267913428826,0.06781909533473013,,0.5125830827501683
target_multi_1d,1d,29.944444444444443,binary,704724,110,7546,1,0.246855999843681,3.9416204470041376,7546.0,29743.467893093224,0.016244561848846,0.02622907660665049,0.008122280924423,0.5119713676552567
target_multi_5d,1d,29.92063492063492,binary,704210,110,7540,5,0.2163002532920329,4.4757789462772815,1508.0,6749.474650986141,0.03410113375748271,0.055060964895288285,0.017050566878741354,0.5121750292827468
target_relative_rank_5d,1d,29.94047619047619,continuous,704724,110,7545,5,-0.01217193310928349,110.0,1509.0,165990.0,0.006876427065347329,0.011102936105959218,,0.5120052943885139
target_relative_return_5d,1d,29.94047619047619,continuous,704724,110,7545,5,-0.008282622628198146,110.0,1509.0,165990.0,0.006876427065347329,0.011102936105959218,,0.5120052943885139
target_return_1d,1d,29.944444444444443,continuous,704724,110,7546,1,0.28550851720257575,3.4246118611960585,7546.0,25842.121104585458,0.017427685930566966,0.02813939296134101,,0.5119713676552567
target_return_5d,1d,29.92063492063492,continuous,704210,110,7540,5,0.2652386393430916,3.6775753741111656,1508.0,5545.783664159638,0.037620307530674114,0.06074315437802339,,0.5121750292827467
target_up_1d,1d,29.944444444444443,binary,704724,110,7546,1,0.19790319126546263,4.873413559514372,7546.0,36774.77872009545,0.014609278539632101,0.023588687066442897,0.0073046392698160505,0.5119713676552567
target_up_5d,1d,29.92063492063492,binary,704210,110,7540,5,0.1735065539185273,5.524247475278173,1508.0,8330.565192719485,0.030694924520830263,0.049561172174637944,0.015347462260415131,0.5121750292827468
target_volatility_spike_1d,1d,29.944444444444443,binary,704724,110,7546,1,0.12716998186861134,7.401661513186178,7546.0,55852.9377785029,0.011854433175573087,0.019140610795397587,0.005927216587786543,0.5119713676552567
target_weekly_return_1w,1d,29.92063492063492,continuous,704229,110,7540,7,0.2600595654555075,3.7483184573177777,1077.142857142857,4037.4744525965775,0.044090894510243804,0.0711908059155861,,0.5121750292827468
target_weekly_up_1w,1d,29.92063492063492,binary,704229,110,7540,7,0.16025102892694307,5.95645437006343,1077.142857142857,6415.952278611179,0.03497624971612031,0.05647395982444598,0.017488124858060155,0.5121750292827468
target_hourly_breakout_1h,60m,1.8276643990929706,binary,323578,110,3224,4,0.07841840931311887,11.521212009896233,806.0,9286.096879976365,0.029072822605730544,0.04694206580594463,0.014536411302865272,2.0723140779288656
target_hourly_return_1h,60m,1.8276643990929706,continuous,323578,110,3224,4,0.2676583065325174,3.645431371287702,806.0,2938.2176852578878,0.05168467851589753,0.08345201334438469,,2.072314077928866
target_hourly_up_1h,60m,1.8276643990929706,binary,323578,110,3224,4,0.14520005100168487,6.537188512288046,806.0,5268.973940904165,0.038595864954624186,0.062318325850487,0.019297932477312093,2.072314077928866
target_hourly_volume_spike_1h,60m,1.8180272108843538,binary,321708,110,3207,23,0.09872925285691588,9.352557665274862,139.43478260869566,1304.0718448928906,0.07758058395067721,0.12526450996741087,0.038790291975338606,2.077799387535779
target_volatility_spike_1h,60m,1.8276643990929706,binary,323578,110,3224,4,0.1483802417064442,6.405237352117472,806.0,5162.621305806682,0.038991385619905845,0.0629569482969227,0.019495692809952923,2.072314077928866
