path,category_guess,imported_by_count,risk_count,status,recommendation
colab/models/__init__.py,model,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
colab/utils/batch_size.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
colab/utils/data_signature.py,utility_or_unknown,22,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
colab/utils/metrics.py,calculator,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
colab/utils/retry.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
colab/utils/utils.py,calculator,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
colab/utils/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/cache/cache_manager.py,utility_or_unknown,21,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
core/cache/object_cache.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/cache/query_cache.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/cache/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/clients/http_client_factory.py,factory,25,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
core/clients/llm_client.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/cloud/gcs_manager.py,utility_or_unknown,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
core/cloud/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
core/error_handling/error_handler.py,orchestrator,21,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
