path,category_guess,imported_by_count,risk_count,status,recommendation
main/modes/__init__.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
meta_learning/awareness/context_engine.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
meta_learning/calibration/calibration_engine.py,risk,0,0,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
meta_learning/evolution/dual_loops.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
meta_learning/memory/contextual_weight_calculator.py,calculator,2,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
meta_learning/memory/diary_engine.py,calculator,12,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
meta_learning/memory/knn_context_finder.py,model,1,20,ACTIVE_BUGGY_OR_RISKY,Used by source and has risk findings. Review/fix first.
meta_learning/security/agent_permissions.py,risk,0,0,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
meta_learning/security/constraint_engine.py,risk,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
meta_learning/security/constraint_validators.py,validator,1,0,ACTIVE_UNTESTED_OR_OK,Used by source. Check tests/runtime before declaring OK.
meta_learning/awareness/context/analyzer.py,analyzer,0,0,UNUSED_USEFUL_CANDIDATE,"Orphan statically, but category may contain reusable production logic."
meta_learning/awareness/context/manager.py,utility_or_unknown,0,0,UNUSED_DELETE_CANDIDATE,No static imports. Confirm config/runtime usage before deletion.
