file,stage_symbols,imported_by_count,has_execute_or_run,status,recommendation
agents/pipeline_bridge.py,PipelineBridge,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
cli/pipeline_data_loader.py,PipelineDataLoader,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
cli/pipeline_executor.py,PipelineExecutor,3,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
features/feature_orchestrator.py,FeatureOrchestrator,5,True,LIKELY_REACHABLE,Add smoke/runtime test for this stage.
main/system_orchestrator.py,SystemOrchestrator,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/constants.py,,10,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/hybrid_orchestrator.py,HybridOrchestrator,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/modeling_context.py,,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/pipeline_factory.py,PipelineFactory,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
pipeline/pipeline_orchestrator.py,StageLoggingRequest;PipelineOrchestrator,8,True,LIKELY_REACHABLE,Add smoke/runtime test for this stage.
pipeline/stage_loader.py,StageLoader,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
pipeline/target_column_utils.py,,12,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/timeframe_lineage.py,,8,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
scripts/test_modular_pipeline.py,,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
targets/target_orchestrator.py,TargetOrchestrator,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
trading/trading_orchestrator.py,TradingOrchestrator,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
validation/pipeline_schemas.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/archive/cognitive_pipeline.py,,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
agents/modular_pipeline/base_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/orchestrator.py,ModularAnalystOrchestrator,46,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/agriculture_food_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/consumer_retail_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/cross_platform_innovation_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/energy_commodity_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/financial_services_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/geopolitical_risk_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/healthcare_biotech_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/industrial_logistics_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/macro_regime_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/metals_mining_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/real_estate_construction_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/technology_lens.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
agents/modular_pipeline/lenses/_prompted_lens.py,,12,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
analytics/arena/arena_orchestrator.py,ArenaOrchestrator,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
archive/reporting/reporting_orchestrator.py,ReportingOrchestrator,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
archive/pipeline/stages/stage_3_improvements.py,,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
archive/pipeline/stages/prediction/result_builder.py,,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
archive/pipeline/stages/prediction/result_request.py,,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
features/nlp/models/finbert_pipeline.py,,2,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
main/modes/training_data_pipeline.py,,1,False,NEEDS_REVIEW,"Stage-like file found, but run/execute/process contract is unclear."
pipeline/cache/results_cache_manager.py,,0,False,POSSIBLY_ORPHAN_STAGE,Check if this stage is loaded by config/dynamic import before deleting.
