feature,ic_dear,ic_cheap,abs_dear,abs_cheap
CDL_UPPER_WICK_RATIO_1d,0.025844604496897322,0.024546919979042115,0.025844604496897322,0.024546919979042115
CDL_LOWER_WICK_RATIO_1d,-0.019944405896276496,-0.02728331561222939,0.019944405896276496,0.02728331561222939
ROLLING_SKEW_20_1d,-0.00833860218642968,-0.013371679038242336,0.00833860218642968,0.013371679038242336
fund_return_on_equity_1d,0.010218724769160924,0.015799917674166365,0.010218724769160924,0.015799917674166365
peer_divergence_1d,-0.016468732499716986,-0.01434829444679458,0.016468732499716986,0.01434829444679458
state_SMA_200_1d,0.010139377052393997,0.0175705415111145,0.010139377052393997,0.0175705415111145
ABB_Lower_1d,0.003420176310576296,0.065791893736698,0.003420176310576296,0.065791893736698
BB_Lower_1d,0.003866094658042843,0.06549586281969307,0.003866094658042843,0.06549586281969307
SMA_50_1d,0.003124869002203075,0.06271291312364698,0.003124869002203075,0.06271291312364698
SMA_100_1d,0.002986437554328649,0.059671383924032644,0.002986437554328649,0.059671383924032644
LAG_5_1d,0.002968051883495363,0.06512311952175222,0.002968051883495363,0.06512311952175222
LAG_10_1d,0.0036847058568048254,0.06479989311076612,0.0036847058568048254,0.06479989311076612
EMA_50_1d,0.0029407970665155606,0.06126569292891686,0.0029407970665155606,0.06126569292891686
AEMA_20_1d,0.002930943590815464,0.06357670149335039,0.002930943590815464,0.06357670149335039
ABB_Mid_1d,0.002830948957153731,0.0641163194969056,0.002830948957153731,0.0641163194969056
EMA_100_1d,0.002827339204533666,0.05651580631891347,0.002827339204533666,0.05651580631891347
SHARPE_RATIO_1d,0.011560400888415015,0.019144004239844976,0.011560400888415015,0.019144004239844976
LAG_20_1d,0.0034524100761861003,0.064034077959897,0.0034524100761861003,0.064034077959897
BB_Middle_1d,0.003494745181531825,0.0646844746833878,0.003494745181531825,0.0646844746833878
SMA_20_1d,0.003494745181531825,0.0646844746833878,0.003494745181531825,0.0646844746833878
EMA_20_1d,0.0029804612531648548,0.0637767148613328,0.0029804612531648548,0.0637767148613328
SMA_10_1d,0.0028285854008734436,0.06465244327845726,0.0028285854008734436,0.06465244327845726
EMA_10_1d,0.002626632475705089,0.06450724446176659,0.002626632475705089,0.06450724446176659
LAG_1_1d,0.002220760528941492,0.06518142791699248,0.002220760528941492,0.06518142791699248
SMA_5_1d,0.002494292372463911,0.0648148870404333,0.002494292372463911,0.0648148870404333
BB_Upper_1d,0.002807595922152609,0.06379601463411269,0.002807595922152609,0.06379601463411269
peer_count_1d,0.006123855706251011,0.027583528225589016,0.006123855706251011,0.027583528225589016
EMA_200_1d,0.0011642577220129997,0.049297537029033306,0.0011642577220129997,0.049297537029033306
EMA_5_1d,0.0021356659946637304,0.06444940558941127,0.0021356659946637304,0.06444940558941127
ABB_Upper_1d,0.0023663436657101905,0.06261551220438229,0.0023663436657101905,0.06261551220438229
SMA_200_1d,0.001428332784745816,0.05283140893218002,0.001428332784745816,0.05283140893218002
low,0.00219927581766097,0.06523237380572053,0.00219927581766097,0.06523237380572053
open,0.0021189870078956933,0.06509656511693551,0.0021189870078956933,0.06509656511693551
high,0.001984452726106117,0.06506984578193163,0.001984452726106117,0.06506984578193163
state_LEVEL_POSITION_20_1d,-0.0072327368414445625,-0.004484540572154573,0.0072327368414445625,0.004484540572154573
close,0.0015376183072692813,0.06474801354357936,0.0015376183072692813,0.06474801354357936
SORTINO_RATIO_1d,0.011395838880822746,0.017209284766581612,0.011395838880822746,0.017209284766581612
SKEWNESS_1d,-0.004238258772021313,-0.016389278551815132,0.004238258772021313,0.016389278551815132
insider_net_value_30d_1d,-0.01485755184831256,0.005309416282609275,0.01485755184831256,0.005309416282609275
ATR_14_1d,-0.002829832977937209,0.05199622688226693,0.002829832977937209,0.05199622688226693
atr_14_1d,-0.0021110162581745888,0.05444884732807536,0.0021110162581745888,0.05444884732807536
AATR_14_1d,-0.0029589646313360396,0.054455657161300096,0.0029589646313360396,0.054455657161300096
state_EMA_200_1d,0.003940214319156735,0.02060921373885292,0.003940214319156735,0.02060921373885292
significant_events_30d_1d,-0.009734334253570611,-0.010051103537857806,0.009734334253570611,0.010051103537857806
days_since_last_significant_1d,0.0046160564400038444,0.005864588171647557,0.0046160564400038444,0.005864588171647557
is_significant_decayed_1d,-0.0046160564400038444,-0.005864588171647557,0.0046160564400038444,0.005864588171647557
