feature,measured,dtype,history,coverage,uniq,mode_share,varies,verdict
SORTINO_RATIO_1d,True,float32,623398,1.0,619711,6.41644663601744e-06,1.0,can carry a cross-sectional signal
Stoch_D_1d,True,float32,623398,1.0,608739,0.00020372218069355372,1.0,can carry a cross-sectional signal
Stoch_K_1d,True,float32,623398,1.0,569999,0.0075553659139105354,1.0,can carry a cross-sectional signal
VELOCITY_10_1d,True,float32,623398,1.0,538081,0.0031488711866255585,1.0,can carry a cross-sectional signal
VELOCITY_1_1d,True,float32,623398,1.0,444528,0.012407803682398725,1.0,can carry a cross-sectional signal
VELOCITY_5_1d,True,float32,623398,1.0,516264,0.004910185788212346,1.0,can carry a cross-sectional signal
VOLATILITY_20_1d,True,float32,623398,1.0,614701,7.539324797320492e-05,1.0,can carry a cross-sectional signal
VOLATILITY_50_1d,True,float32,623398,1.0,614194,4.1706903134113356e-05,1.0,can carry a cross-sectional signal
VOLATILITY_5_1d,True,float32,623398,1.0,616104,0.0002085345156705668,1.0,can carry a cross-sectional signal
Williams_R_1d,True,float32,623398,1.0,580279,0.006912117138649787,1.0,can carry a cross-sectional signal
atr_14_1d,True,float32,623398,1.0,604480,0.00010266314617627904,1.0,can carry a cross-sectional signal
close,True,float32,623398,1.0,534069,0.00013795360267437496,1.0,can carry a cross-sectional signal
context_fingerprint_1d,False,object,623398,1.0,2066,0.01758266789434679,1.0,can carry a cross-sectional signal
context_pattern_id_1d,True,object,623398,1.0,619416,0.0001636193892184447,1.0,can carry a cross-sectional signal
context_pattern_seq_1d,False,object,623398,1.0,619463,0.0001636193892184447,1.0,can carry a cross-sectional signal
context_stability_1d,True,float32,623398,1.0,110,0.033651054382593464,1.0,can carry a cross-sectional signal
context_velocity_1d,True,float32,623398,1.0,11,0.6925415224302933,0.9997058823529412,can carry a cross-sectional signal
context_velocity_rank_1d,True,float32,621308,0.9966474066326809,468443,0.0007999253188434722,0.9972058823529412,can carry a cross-sectional signal
days_since_last_significant_1d,True,float32,623398,1.0,365,0.1764586989371156,0.9998529411764706,can carry a cross-sectional signal
fund_current_ratio_1d,True,float32,240664,0.3860519283026253,3831,0.0010346375029086194,0.5301470588235294,can carry a cross-sectional signal
fund_data_available_1d,True,float64,623398,1.0,2,0.5406096907593544,0.5308823529411765,can carry a cross-sectional signal
fund_days_since_report_1d,True,float32,286383,0.4593903092406456,201,0.015887814569998916,0.5301470588235294,can carry a cross-sectional signal
fund_debt_to_equity_1d,True,float32,174017,0.2791426985649617,2722,0.010815035312641868,0.5301470588235294,can carry a cross-sectional signal
fund_earnings_yield_1d,True,float32,261501,0.41947680294129913,249416,0.0001453149318740655,0.5301470588235294,can carry a cross-sectional signal
fund_price_to_book_1d,True,float32,250635,0.4020465256545578,238697,0.00015161489815867696,0.5301470588235294,can carry a cross-sectional signal
fund_return_on_equity_1d,True,float32,238742,0.3829688256940189,3823,0.004678690804299202,0.5301470588235294,can carry a cross-sectional signal
gk_volatility_1d,True,float32,623398,1.0,618957,7.378913631420056e-05,1.0,can carry a cross-sectional signal
hash,False,object,623398,1.0,623398,1.60411165900436e-06,1.0,can carry a cross-sectional signal
high,True,float32,623398,1.0,577184,0.00014116182599238367,1.0,can carry a cross-sectional signal
insider_available_1d,True,float64,623398,1.0,2,0.8282204947722,0.6141176470588235,can carry a cross-sectional signal
insider_net_value_30d_1d,True,float32,107087,0.1717795052277999,32,0.7715782494607188,0.5816176470588236,can carry a cross-sectional signal
is_significant_1d,True,object,623398,1.0,2,0.8235413010628844,0.9897058823529412,can carry a cross-sectional signal
is_significant_decayed_1d,True,float32,623398,1.0,365,0.1764586989371156,0.9998529411764706,can carry a cross-sectional signal
low,True,float32,623398,1.0,577254,0.0001283289327203488,1.0,can carry a cross-sectional signal
macro_composite_score_1d,True,float32,623165,0.999626241983452,377262,0.00010591095456259578,0.9988235294117647,can carry a cross-sectional signal
market_breadth_1d,True,float32,623398,1.0,2770,0.005946441919929163,0.9995588235294117,can carry a cross-sectional signal
market_context_market_breadth_1d,True,float32,623398,1.0,2,0.5957991523873993,0.9927941176470588,can carry a cross-sectional signal
