iter	Passed	Remaining
422	2621	3576
423	2626	3567
424	2631	3560
425	2636	3552
426	2640	3543
427	2646	3536
428	2651	3528
429	2655	3519
430	2660	3512
431	2665	3504
432	2669	3495
433	2674	3488
434	2679	3480
435	2684	3472
436	2689	3464
437	2694	3456
438	2698	3448
439	2703	3440
440	2709	3434
441	2713	3425
442	2718	3417
443	2723	3410
444	2728	3402
445	2732	3394
446	2738	3387
447	2743	3379
448	2747	3371
449	2753	3365
450	2758	3357
451	2763	3350
452	2770	3345
453	2788	3353
454	2799	3353
455	2808	3349
456	2817	3347
457	2825	3344
458	2836	3343
459	2843	3338
460	2851	3333
461	2856	3326
462	2861	3319
463	2868	3313
464	2876	3309
465	2882	3302
466	2886	3294
467	2891	3287
468	2896	3279
469	2900	3271
470	2906	3264
471	2911	3256
472	2915	3248
473	2920	3240
474	2925	3233
475	2929	3224
476	2934	3217
477	2939	3209
478	2943	3201
479	2947	3193
480	2953	3187
481	2958	3179
482	2963	3171
483	2968	3164
484	2972	3156
485	2976	3148
486	2982	3141
487	2986	3133
488	2991	3126
489	2997	3119
490	3002	3112
491	3007	3105
492	3013	3098
493	3017	3090
494	3021	3082
495	3027	3075
496	3031	3068
497	3036	3060
498	3040	3052
499	3045	3045
500	3050	3037
501	3054	3030
502	3060	3023
503	3064	3015
504	3068	3007
505	3072	2999
506	3075	2990
507	3078	2981
508	3081	2972
509	3085	2964
510	3089	2956
511	3092	2947
512	3096	2939
513	3098	2930
514	3102	2921
515	3105	2913
516	3111	2906
517	3116	2899
518	3121	2893
519	3126	2886
520	3131	2879
521	3138	2873
522	3143	2866
523	3148	2859
524	3154	2853
525	3159	2847
526	3165	2841
527	3173	2836
528	3184	2834
529	3190	2829
530	3196	2823
531	3202	2817
532	3209	2811
533	3216	2807
534	3223	2801
535	3236	2801
536	3254	2805
537	3265	2804
538	3276	2802
539	3287	2800
540	3298	2798
541	3312	2799
542	3323	2797
543	3335	2796
544	3345	2793
545	3360	2794
546	3374	2794
547	3384	2791
548	3390	2785
549	3399	2781
550	3407	2776
551	3414	2771
552	3422	2766
553	3430	2761
554	3436	2755
555	3444	2750
556	3451	2744
557	3458	2739
558	3463	2732
559	3469	2726
560	3476	2720
561	3481	2713
562	3489	2708
563	3496	2703
564	3502	2696
565	3507	2689
566	3512	2682
567	3519	2677
568	3524	2669
569	3529	2662
570	3536	2656
571	3540	2649
572	3545	2642
573	3551	2636
574	3556	2628
575	3560	2621
576	3566	2614
577	3570	2607
578	3575	2600
579	3582	2593
580	3586	2586
581	3591	2579
582	3597	2573
583	3601	2565
584	3606	2558
585	3612	2552
586	3616	2544
587	3621	2537
588	3627	2531
589	3631	2523
590	3636	2516
591	3642	2510
592	3647	2503
593	3653	2497
594	3658	2490
595	3663	2483
596	3667	2475
597	3672	2469
598	3676	2461
599	3681	2454
600	3686	2447
601	3691	2440
602	3696	2433
603	3701	2426
604	3706	2419
605	3710	2412
606	3716	2406
607	3720	2398
608	3724	2391
609	3730	2384
610	3735	2378
611	3740	2371
612	3745	2364
613	3750	2357
