iter	RMSE
0	0.023299098
1	0.02282578931
2	0.02236892454
3	0.02191395921
4	0.02153286024
5	0.02117307515
6	0.02082312908
7	0.02049927249
8	0.02014298997
9	0.01980419495
10	0.01946228525
11	0.01917200858
12	0.01889810261
13	0.01859941207
14	0.01829660455
15	0.01795856375
16	0.01765519393
17	0.01735675402
18	0.01710951958
19	0.01682061074
20	0.01654871013
21	0.01629001203
22	0.01604447553
23	0.01582181313
24	0.01558574791
25	0.01533245258
26	0.01510806171
27	0.01490283571
28	0.01469250309
29	0.01445927402
30	0.01422929168
31	0.0140198451
32	0.01380530742
33	0.01361564819
34	0.01341691974
35	0.01324339945
36	0.01310911394
37	0.01289511237
38	0.01269339895
39	0.01250454217
40	0.01232298382
41	0.01218657755
42	0.01206469367
43	0.01190118131
44	0.01174321199
45	0.01162908543
46	0.01146941011
47	0.01129953466
48	0.01114837394
49	0.01098744498
50	0.01082595661
51	0.01067546654
52	0.0105442698
53	0.01038726344
54	0.0102881496
55	0.01016446364
56	0.01006594734
57	0.0099360145
58	0.009822794527
59	0.009731202844
60	0.009604129389
61	0.009518208797
62	0.009399860424
63	0.009285282594
64	0.009176821663
65	0.009068272949
66	0.008965164141
67	0.008871958443
68	0.008781764067
69	0.008677241151
70	0.008586863687
71	0.008463998526
72	0.008401053713
73	0.008296021708
74	0.008212353715
75	0.008129659925
76	0.008020544854
77	0.007934168723
78	0.00785294805
79	0.007769324174
80	0.007707112837
81	0.007636212767
82	0.007552877344
83	0.007460822047
84	0.007395685203
85	0.007320976235
86	0.007242861574
87	0.007180629095
88	0.007118422736
89	0.007059343831
90	0.007013889468
91	0.006946966869
92	0.006874359024
93	0.006838573964
94	0.006795831164
95	0.006719234405
96	0.006655631877
97	0.006562400212
98	0.006488193552
99	0.006433866077
100	0.006357132698
101	0.006312034837
102	0.006245279617
103	0.006189762149
104	0.006114734746
105	0.006037948974
106	0.00596958825
107	0.005913304439
108	0.005862927986
109	0.005800509749
110	0.005750562424
111	0.005727436168
112	0.00568592906
113	0.005632546191
114	0.005593401625
115	0.005542075359
116	0.005492852787
117	0.005462862543
118	0.005417797309
119	0.005373204365
120	0.005323296104
121	0.005280132617
122	0.005234265974
123	0.005192943999
124	0.005145302866
125	0.005092078031
126	0.005054041356
127	0.005024952879
128	0.004952194829
129	0.004912950152
130	0.004879335898
131	0.004852913911
132	0.004811194598
133	0.004746429093
134	0.004714556793
135	0.004685288274
136	0.004635062685
137	0.004588983068
138	0.004558695424
139	0.004501114695
140	0.00446451612
141	0.00443492224
142	0.004388159973
143	0.004363334202
144	0.004335664111
145	0.004294672769
146	0.004273801654
147	0.004250837404
148	0.004217545562
149	0.004194022828
150	0.004158310287
151	0.004126920574
152	0.004097571766
153	0.00404920908
154	0.004029860437
155	0.004000376029
156	0.003976425834
157	0.003948479435
158	0.00392544327
159	0.003894035807
160	0.003853691956
161	0.00380367446
162	0.003783776585
163	0.003738586356
164	0.003715312562
165	0.003681044798
166	0.003641053982
167	0.003621786942
168	0.003602418606
169	0.003562561186
170	0.003543921187
171	0.003502284189
172	0.003459821897
173	0.003430706757
174	0.003394398802
175	0.00337273007
176	0.003357406957
177	0.00333155931
178	0.003300570034
179	0.003265770043
